Software Developer (EPISERVER),Prokatchers LLC,"Harrisburg, PA","['Good knowledge in Microsoft technologies - .Net, C# and ASP.', ' ·  Extensive knowledge in Content management platform  EPIServer  .', ' ·  Good understanding in .Net wrapper and API Webservice.', ' ·  Good development skill and communication.', ' Knowledge in Agile methodology. ']","['C Sharp (Programming Language)', 'E Pi Servers', '.Net Framework', 'Wrapper (Data Mining)', 'Web Services', 'Application Programming Interface']",https://www.careerbuilder.com/job/J2R0L6761MS1LXCW2PB
Physical Security Manager,D & H Distributing Company,"Harrisburg, PA",[],[],https://www.careerbuilder.com/job/J3R13T6D1VC46HFZPRD
Contingent Senior SAP / Middleware Developer (NAVSUP IBM),Imagine One Technology,"Mechanicsburg, PA",[],[],https://www.careerbuilder.com/job/J3R8846RVRCNVMWR1BV
Contingent Navy ERP / SAP Data Management SME (NAVSUP IBM),Imagine One Technology,"Mechanicsburg, PA",[],[],https://www.careerbuilder.com/job/J3M7YR65234NYCYN6T9
Test Engineering Manager,"Red Lion Controls, Inc.",York,"['Position Summary', 'Reporting to the Plant Manager, the Test Engineer Manager plans, directs, and coordinates test engineering needs as it relates to production and new product introductions. With a customer driven focus this position directly manages a team of approximately ten test engineering professionals. The Test Engineer Manager must communicate with employees on all levels to ensure that the company’s overall goals of quality and production are met to the highest standards.', 'Essential Job Functions', 'Minimum Requirements', 'Endorse, support and model the Company’s core values of:', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Absolute Integrity\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Empowerment\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Customer Focus\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Restless Innovation\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 High Performance', 'Red Lion Controls is committed to recruiting and selecting candidates based on their qualifications. We are a proud EEO employer and will hire, train and promote individuals regardless of age, color, disability, gender (including gender identity), national origin, marital status, race, religion, sex, sexual orientation, veteran status or any other status protected under applicable laws.', 'Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities']",[],https://www.careerbuilder.com/job/J3W7NF5XBVP064YWG52
Scrum Master,The Judge Group,"Shiremanstown, PA",[],[],https://www.careerbuilder.com/job/J3W2V5780WRL3Y9712Z
Stoker Reliability Specialist,Covanta,Bainbridge,"['About Covanta: Covanta is a world leader in providing sustainable waste and energy solutions. Annually, Covanta’s modern Energy-from-Waste facilities safely convert approximately 20 million tons of waste from municipalities and businesses into clean, renewable electricity to power one million homes and recycle approximately 500,000 tons of metal. Through a vast network of treatment and recycling facilities, Covanta also provides comprehensive industrial material management services to companies seeking solutions to some of today’s most complex environmental challenges. For more information, visit [ Link removed ] -  Click here to apply to Stoker Reliability Specialist .', 'Information on our facilities is available at [ Link removed ] -  Click here to apply to Stoker Reliability Specialist . For career opportunities, visit [ Link removed ] -  Click here to apply to Stoker Reliability Specialist . Covanta is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status.', 'SUMMARY:', 'The Stoker Reliability Specialist will be responsible for developing and implementing the inspection and maintenance methods, procedures and practices to minimize stoker system failures and maximize stoker systems reliability. Reporting to the Manager of Stoker Grate Reliability, the Stoker Reliability Specialist will ensure consistent oversight of the stoker systems component life, through detailed inspection and reporting management. Effective planning and execution of stoker inspections, proper specification of materials, and oversight of repair and replacement procedures is critical to reducing failures and improving reliability.', '', 'The stoker system which includes the feedchutes, feeders, grates and ash extractors \xa0\xa0can greatly impact the proper operation of the boiler and environmental compliance if not effectively maintained.\xa0 Effective coordination of the inspections with the facility, condition assessment, and communication of best practices is critical to reliability of these components.', '', '', '\r\n Position Requirements\r\n \n', 'Education :', 'Experience :']",[],https://www.careerbuilder.com/job/J3R51K5Z3CC7G1GP8DY
"Civil Engineer, Land Development PE",GPAC,"Harrisburg, PA","[""Our client is a well-established, growing engineering, and land planning firm. They are looking for a Civil Engineer in, Land Development, with a passion to deliver excellence! This firm works hard to ensure that their projects are planned, designed & managed to meet not only high expectations, but to exceed their clients' goals. As their team continues to grow, they are seeking a highly motivated engineer to join their team."", 'What you will need:', 'Responsibilities Include:', 'What they have for you:', 'To apply to this position, send resume and portfolio/project list as well as the software you are an proficient in to accomplish your craft. [ Email address blocked ] -  Click here to apply to Civil Engineer, Land Development PE.', ' Connect with me on LinkedIn Kristin Ketzenberg', 'Kristin Ketzenberg', 'Search Consultant, Gpac', '605.231.5525', 'All qualified applicants will receive consideration without regard to race, age, color, sex (including pregnancy), religion, national origin, disability, sexual orientation, gender identity, marital status, military status, genetic information, or any other status protected by applicable laws or regulations.', '', 'GPAC (Growing People and Companies) is an award-winning search firm specializing in placing quality professionals within multiple industries across the United States for the past 30 years. We are extremely competitive, client-focused and realize that our value is in our ability to deliver the right solutions at the right time.']",[],https://www.careerbuilder.com/job/J3N3C761QTMGRCSPCFT
Mortgage Disclosure Analyst,Jobot,Harrisburg,[],[],https://www.careerbuilder.com/job/J3P7MJ68P1GKF75V70S
Test Engineer,"Red Lion Controls, Inc.",York,"['Position SummaryReporting to the Test Engineering Manager, the Test Engineer develops, qualifies, and documents test processes for electronic assemblies and systems to ensure internal quality standards are met and maintained. This position is responsible to ensure test processes are capable, reliable, and optimal.', 'The Test Engineer must be able to lead Test Engineering Technicians through continuous improvement ideologies. This position is expected to fulfill duties and consistently find solutions to rising problems. The position requires engaging operators in conversation to investigate problems, develop a solution and independently act on resolving testing issues in the manufacturing environment. It is important that the Test Engineer understands the importance of integrity in every decision to ensure that quality is never sacrificed. All employees are expected to embrace and adhere to the Safety and Electrostatic Discharge (ESD) policies and practices.', 'Essential Job Functions:', 'Minimum Requirements:', 'Preferred Requirements• Bachelor’s degree in Electrical Engineering or similar disciplineSupervisory Responsibilities• TE I and II position does not have direct supervisory responsibilities; however, position is expected to work closely with and delegate work to Test Engineering Technicians and Specialists.Tools and Equipment Necessary• Magnifying devices, measuring tools, and electronic test and calibration equipment• Use of general hand toolsRequired Licenses, Certificates or Knowledge• Knowledgeable in high level software languages such as, GEOTest ATEasy, National Instruments Lab View and TestStand• Knowledgeable in analog and digital circuitry, used in industrial controls• Knowledgeable in analog calibration disciplines of electronic hardware• Proficient computer skills to include Microsoft Office (Work, Excel, PowerPoint) Sharepoint, Internet Explorer and Outlook.']",[],https://www.careerbuilder.com/job/J3Q3NF66MFSW2QTPS14
Director of Talent Acquisition,"Blue Signal, LLC",Harrisburg,[],[],https://www.careerbuilder.com/job/J3Q1SS69JV0V42XJGD9
UI / Angular Front End Developer,ProRec Resource Solutions,Mechanicsburg,[],[],https://www.careerbuilder.com/job/J3W1L47578S07S2P69Z
CNC Programmer - Off Shift,"The AMES Companies, Inc.",Camp Hill,"['This position is responsible for supporting and leading all CNC programs throughout the tool room and scheduling. This person will provide lead responsibilities to the tool room.Major Responsibilities• Define, Design, Order, Review and implement all tooling associated with the manufacturing of parts on CNC machinery; working with tool design as required• Create / Maintain CNC programs in the vault; including set up sheets, tooling, models, and associated documentation required to accurately account for the design configuration of CNC tooling• Mentor and train tool room personnel in the set-up / operation of CNC equipment, and the programming and use of MasterCam software to ensure proper equipment optimization• Recommends and implements process and productivity improvements• Set clear objectives for tool room personnel and measure results• Proven leadership abilities and the ability to work with and on a team • Work with VMI vendors in setting and controlling the appropriate inventory levels in the tool crib • Order tooling, parts, and materials utilizing Oracle• Collaborates with tooling manager to implement corrective actions including re-training of tool room personnel• Ensure the tool room personnel follow all safety policies & procedures and making sure the equipment is operated in a clean and safe manner• Oversee all CNC machinery and associated processes• Supervise / Manage tool room in absence of tooling', 'Required Knowledge, Skills, Abilities & QualificationsEducation Requirements • Associate’s degree in machining technology or equivalent from 2-year college/technical school or 2-3 years related experience and/or training or journeyman’s papersLanguage Skills • Effective oral and written communication skills and the ability to work with and support internal support groupsMathematical Skills • Ability to perform addition, subtraction, multiplication, and division in all units of measure. Must possess strong basic shop math skillsComputer Skills • Strong PC skills including the Microsoft Office Suite; primarily Excel and Word• Strong knowledge of Oracle SoftwareOther Skills and Abilities • 5 + years in a programming role• 2 + years in a lead or supervisory role• Proficiency with programming utilizing MasterCam and setting up and running CNC machinery• Strong knowledge of high speed machining / shrink fits• Experience with CMM systems• Knowledge of TPM methodologies and procedures• Knowledge of Lean Principles, QDC, 5S and Continuous Improvement Process• Experience with CAD software (Solidworks)• Experience with Chess Application software a plus• Heat treat knowledge or experience a plus• Hard surface machining knowledge or experience a plus• Ability to tackle a problem by using a logical, systematic, sequential approach• Ability to identify the information needed to clarify a situation, seek that information from appropriate sources, and use skillful questioning to draw out the information• Strong mechanical aptitude/ability with working knowledge of injection molding presses, stamping presses, press controls, molds, dies and tooling• Knowledge of Lean Principles, QDC, 5S, and Continuous Improvement ProcessCertificates/Licensure • Lock-Out/Tag-Out Certification• Press Training CertificationEnvironmental/Physical RequirementsPhysical demands described here are representative of those that must be met to successfully perform the essential functions of this position. Reasonable accommodations may be made to enable individuals with disabilities to perform these functions. • While performing the duties of this job, the employee is regularly required to sit, talk and hear. The employee is occasionally required to stand on concrete floor with/without floor mats; walk; use hands to finger, handle, or feel and reach with hands and arms (which may include above and/or below shoulders). The employee is regularly required to use left and/or right hand for simple grasping, fine work, pushing/pulling. Specific vision abilities required by this job include close vision, peripheral vision, depth perception and ability to adjust focus as well as ability to distinguish changes in shade of color.• While performing the duties of this job, the associate may need the ability to lift and carry up to 20 to 30 lbs. On a rare occasion, may be required to lift up to 50 lbs assisted.• The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accomomodations may be made to enable individuals with disabilities to perform the essential functions.• While performing the duties of this job, the employee is regularly exposed to moving mechanical parts and vibration. The employee is regularly exposed to pounding and impacting. The employee is occasionally exposed to wet and/or humid conditions; fumes or airborne particles; extreme cold; extreme heat and risk of electrical shock. The noise level in the work environment is usually loud. Wearing PPE is required.Company StatementAmes offers competitive compensation and an excellent benefits package including Medical, Dental, Vision, 401(k), Tuition Reimbursement, paid holidays & vacation, and more. We are an equal opportunity employer and a drug-free workplace.']",[],https://www.careerbuilder.com/job/J3W6D0658R6DV763926
